Work,Author,Era,School of Thought,Topic(s),Original Language,Prerequisite,Eastern/Western
An Introduction to the Principles of Morals and Legislation,Bentham,Modern,Utilitarianism,Politics,English,N/A,Western
,,,,,,,
Phenomenology of Spirit,Georg Hegel,Modern,Idealism,Metaphysics,German,Prolegomena to Any Future Metaphysics - Kant,Western
Phenomenology of Spirit,Georg Hegel,Modern,Idealism,Epistemology,German,Prolegomena to Any Future Metaphysics - Kant,Western
Phenomenology of Spirit,Georg Hegel,Modern,Idealism,Ethics,German,Prolegomena to Any Future Metaphysics - Kant,Western
Science of Logic,Georg Hegel,Modern,Idealism,Metaphysics,German,Prolegomena to Any Future Metaphysics - Kant,Western
Science of Logic,Georg Hegel,Modern,Idealism,Logic,German,Prolegomena to Any Future Metaphysics - Kant,Western
The Philosophy of Right,Georg Hegel,Modern,Idealism,Politics,German,On the Laws - Cicero,Western
,,,,,,,
Course of Positive Philosophy: Book 6-Social Physics,Auguste Comte,Modern,Positivism,Social,French,N/A,Western
,,,,,,,
The World as Will and Representation Book 1/2,Arthur Schopenhauer ,Modern,Idealism,Metaphysics,German,Prolegomena to Any Future Metaphysics - Kant,Western
The World as Will and Representation Book 1/2,Arthur Schopenhauer ,Modern,Idealism,Epistemology,German,Prolegomena to Any Future Metaphysics - Kant,Western
The World as Will and Representation Book 3/4,Arthur Schopenhauer ,Modern,Idealism,Ethics,German,Prolegomena to Any Future Metaphysics - Kant,Western
The World as Will and Representation Book 3/4,Arthur Schopenhauer ,Modern,Idealism,Aesthetics,German,Prolegomena to Any Future Metaphysics - Kant,Western
Fear and Trembling,Soren Kierkegaard,Modern,Extistentialism,Metaphysics,Danish,N/A,Western
Fear and Trembling,Soren Kierkegaard,Modern,Extistentialism,Ethics,Danish,N/A,Western
Fear and Trembling,Soren Kierkegaard,Modern,Extistentialism,Aesthetics,Danish,N/A,Western
Either/Or,Soren Kierkegaard,Modern,Extistentialism,Ethics,Danish,N/A,Western
Either/Or,Soren Kierkegaard,Modern,Extistentialism,Aesthetics,Danish,N/A,Western
,,,,,,,
Das Kapital,Karl Marx,Modern,Marxism,Politics,German,Prolegomena to Any Future Metaphysics - Kant,Western
On Liberty,John Stuart Mill,Modern,Utilitarianism,Politics,English,On the Laws - Cicero,Western
Utilitarianism,John Stuart Mill,Modern,Utilitarianism,Ethics,English,N/A,Western
The Subjugation of Women,John Stuart Mill,Modern,Feminist,Politics,English,N/A,Western
,,,,,,,
Thus Spoke Zarathustra,Friedrich Niezsche,Modern,Extistentialism,Metaphysics,German,N/A,Western
Thus Spoke Zarathustra,Friedrich Niezsche,Modern,Extistentialism,Ethics,German,N/A,Western
Beyond Good and Evil,Friedrich Niezsche,Modern,Extistentialism,Metaphysics,German,Phaedo - Plato,Western
Beyond Good and Evil,Friedrich Niezsche,Modern,Extistentialism,Ethics,German,Phaedo - Plato,Western
On the Genealogy of Morals,Friedrich Niezsche,Modern,Extistentialism,Ethics,German,Phaedo - Plato,Western
,,,,,,,
On Sense and Reference,Gottlob Frege,Modern,Analytic,Epistemology,German,N/A,Western
Begriffsschrift,Gottlob Frege,Modern,Analytic,Logic,German,N/A,Western
The Problems of Philosophy,Bertrand Russel,Contemporary,Analytic,Epistemology,English,N/A,Western
Tractatus Logico-Philosophicus,Ludwig Wittgenstein,Contemporary,Analytic,Metaphysics,German,On Sense and Reference - Frege,Western
Tractatus Logico-Philosophicus,Ludwig Wittgenstein,Contemporary,Analytic,Language,German,On Sense and Reference - Frege,Western
Tractatus Logico-Philosophicus,Ludwig Wittgenstein,Contemporary,Analytic,Logic,German,On Sense and Reference - Frege,Western
Philosophical Investigations,Ludwig Wittgenstein,Contemporary,Analytic,Logic,German,On Sense and Reference - Frege,Western
Philosophical Investigations,Ludwig Wittgenstein,Contemporary,Analytic,Language,German,On Sense and Reference - Frege,Western
The Philosophy of Logical Atomism,Bertrand Russel,Contemporary,Analytic,Metaphysics,English,N/A,Western
The Philosophy of Logical Atomism,Bertrand Russel,Contemporary,Analytic,Logic,English,N/A,Western
Principia Mathematica,Bertrand Russel,Contemporary,Math,Logic,English,N/A,Western
,,,,,,,
The Idea of Phenomenology,Edmund Husserl,Contemporary,Continental,Metaphysics,German,N/A,Western
The Idea of Phenomenology,Edmund Husserl,Contemporary,Continental,Epistemology,German,N/A,Western
Logical Investigations,Edmund Husserl,Contemporary,Continental,Logic,German,The Idea of Phenomenology - Husserl,Western
Logical Investigations,Edmund Husserl,Contemporary,Continental,Epistemology,German,The Idea of Phenomenology - Husserl,Western
Being and Time,Martin Heidegger,Contemporary,Continental,Metaphysics,German,Critique of Pure Reason - Kant,Western
